mall_id_i,mall_id_j,distance,similarity,mall_j_rental_space,pj_given_i
16.0,2.0,7.138101997434598,0.7082803836632032,54000,0.1171538635848629
19.0,2.0,5.210997963588844,0.8510190679126877,54000,0.1734177896124156
12.0,9.0,10.411631597840566,0.8240952293298839,25500,0.11873951428807172
20.0,9.0,3.7408036745084536,0.7903418628918832,25500,0.34106280193236715
21.0,9.0,9.44991148174059,0.8884966738964623,25500,0.11952591610289776
0.0,11.0,6.36654357155769,0.6243007623375036,173000,0.17688696635288914
1.0,11.0,3.689894830140743,0.6225977486546668,173000,0.2383415389721745
6.0,11.0,10.735508623612997,0.3893715601413117,173000,0.11087194205275386
12.0,11.0,10.346625898447806,0.6070559936398926,173000,0.10860447207018896
16.0,11.0,8.070968514103358,0.6153889116436612,173000,0.13244958078404714
17.0,11.0,5.1614461796451785,0.8368049188613309,173000,0.23704047116193616
18.0,11.0,8.899137377889115,0.6227687524910561,173000,0.13949502222778787
21.0,11.0,11.093773529233458,0.5450177504748298,173000,0.10637879054733068
25.0,11.0,0.7331689922545203,0.9280973158804728,173000,0.3327542141687965
29.0,11.0,3.13027013140492,0.7403059347026101,173000,0.21262331812263188
9.0,12.0,10.411631597840566,0.8240952293298839,110000,0.22382797817324016
17.0,12.0,7.399112529499942,0.5662401743499348,110000,0.1454180188533457
20.0,12.0,8.082384300603135,0.8671974487630202,110000,0.3415458937198068
21.0,12.0,1.2531209222843944,0.9027277682892434,110000,0.39281829201330254
25.0,12.0,9.699816940353132,0.5813685038073364,110000,0.1038250581512219
16.0,13.0,0.3967944099501701,0.8821949826092961,46700,0.19046000453206435
0.0,18.0,12.689397060232748,0.4512006284446388,74900,0.11501626236062296
6.0,18.0,14.689422205495507,0.3094269746210797,74900,0.10209102091020912
11.0,18.0,8.899137377889115,0.6227687524910561,74900,0.10918681157111876
25.0,18.0,9.090188525059595,0.5820157171393724,74900,0.10165695086580707
29.0,18.0,10.220143453805226,0.5139146921745941,74900,0.12235034663976445
2.0,19.0,5.210997963588844,0.8510190679126877,144000,0.2720808541165549
13.0,19.0,8.166184648817087,0.8272669144371759,144000,0.11839609861826066
16.0,19.0,7.899523142111338,0.7503687339424173,144000,0.1215726263312939
21.0,19.0,11.130509347946859,0.7016814502953145,144000,0.10231758233788836
9.0,21.0,9.44991148174059,0.8884966738964623,116000,0.14953404274623153
12.0,21.0,1.2531209222843944,0.9027277682892434,116000,0.2607057399818477
17.0,21.0,7.629114790032289,0.5126646058461629,116000,0.11324026854856713
20.0,21.0,6.911667574827789,0.8443959946700791,116000,0.2323671497584541
1.0,25.0,4.211661749277849,0.6285588416912142,7000,0.11639099408087625
11.0,25.0,0.7331689922545203,0.9280973158804728,7000,0.14197409853339374
17.0,25.0,4.952025127566394,0.7890752639064356,7000,0.10826078744483936
0.0,29.0,3.2621329584186745,0.8839948276348937,111000,0.3788761357026405
1.0,29.0,1.28273233608932,0.8629656349713718,111000,0.3940089616639929
6.0,29.0,7.668124964656874,0.6490656254387016,111000,0.34351510181768485
11.0,29.0,3.13027013140492,0.7403059347026101,111000,0.22207995883210604
17.0,29.0,5.631652807175912,0.6335786846045219,111000,0.20256185717474545
18.0,29.0,10.220143453805226,0.5139146921745941,111000,0.1632646672093169
25.0,29.0,3.788503275110513,0.7462670277391575,111000,0.2394250926112053
1.0,0.0,2.935682850274538,0.9362592107972384,115000,0.3119433534325386
6.0,0.0,4.87049744526157,0.7650707978038079,115000,0.3897088970889709
11.0,0.0,6.36654357155769,0.6243007623375036,115000,0.13227023781810165
17.0,0.0,7.18629789136572,0.5326236128085096,115000,0.13959717714933292
18.0,0.0,12.689397060232748,0.4512006284446388,115000,0.10987884290276126
25.0,0.0,6.985040338536433,0.6302618553740511,115000,0.15211210981248025
29.0,0.0,3.2621329584186745,0.8839948276348937,115000,0.27124708200875103
