lat,lon,idh
-33.62,-70.63,0.7208441594293147
-33.61,-70.64,0.7103579093645054
-33.6,-70.67,0.7441120890050049
-33.6,-70.63,0.6929270011354127
-33.6,-70.62,0.738813149117122
-33.59,-70.66,0.6958772897841896
-33.59,-70.65,0.6899513715041252
-33.59,-70.64,0.6899513715041252
-33.59,-70.63,0.6899513715041252
-33.59,-70.62,0.7078217335021992
-33.58,-70.69,0.726457768868365
-33.58,-70.68,0.7320046264572335
-33.58,-70.67,0.7364464004534672
-33.58,-70.66,0.7057828821764673
-33.58,-70.63,0.6899513715041252
-33.57,-70.68,0.7420152857579779
-33.57,-70.67,0.7420152857579779
-33.57,-70.65,0.6902746995230371
-33.57,-70.64,0.6899513715041252
-33.57,-70.59,0.7458210785387929
-33.56,-70.77,0.7264427120810885
-33.56,-70.68,0.7404345721016055
-33.56,-70.67,0.7420152857579779
-33.56,-70.66,0.7276199205945133
-33.56,-70.62,0.7026745038245434
-33.56,-70.6,0.7841383270362932
-33.56,-70.58,0.7721835045918224
-33.56,-70.56,0.7570886814051243
-33.55,-70.8,0.7548624972194358
-33.55,-70.78,0.7997553833363021
-33.55,-70.68,0.7414491426461234
-33.55,-70.67,0.7466224378303695
-33.55,-70.66,0.7695003634121877
-33.55,-70.65,0.7132408246712936
-33.55,-70.63,0.715961240611987
-33.55,-70.62,0.7392349067114063
-33.55,-70.6,0.7958882090835993
-33.55,-70.59,0.7958882090835991
-33.55,-70.58,0.7958882090835993
-33.54,-70.79,0.7997553833363023
-33.54,-70.78,0.7997553833363021
-33.54,-70.77,0.7997553833363021
-33.54,-70.76,0.7966261287814279
-33.54,-70.74,0.7364605989512999
-33.54,-70.7,0.7266131553441441
-33.54,-70.69,0.7317258833196418
-33.54,-70.68,0.8132419168706526
-33.54,-70.67,0.8442426851572624
-33.54,-70.66,0.8507798813752726
-33.54,-70.65,0.7515712503835544
-33.54,-70.63,0.7214479884380385
-33.54,-70.62,0.7267933825378379
-33.54,-70.61,0.7656494629266022
-33.54,-70.6,0.7958882090835991
-33.54,-70.59,0.7958882090835993
-33.54,-70.58,0.7958882090835991
-33.54,-70.57,0.7939818659613079
-33.54,-70.56,0.7874702026140346
-33.54,-70.54,0.7562206991064506
-33.53,-70.8,0.7808905760243219
-33.53,-70.78,0.7997553833363021
-33.53,-70.76,0.7997553833363021
-33.53,-70.75,0.7997553833363021
-33.53,-70.71,0.732736890397386
-33.53,-70.7,0.741324452045921
-33.53,-70.69,0.7446099629068637
-33.53,-70.67,0.8480984231609965
-33.53,-70.66,0.8507798813752726
-33.53,-70.65,0.804141411886898
-33.53,-70.64,0.7108064778073004
-33.53,-70.63,0.7266888245909369
-33.53,-70.62,0.7267933825378379
-33.53,-70.6,0.7958798442922206
-33.53,-70.59,0.7958882090835993
-33.53,-70.56,0.7958882090835993
-33.53,-70.55,0.7958882090835993
-33.52,-70.83,0.752731104135131
-33.52,-70.79,0.7997553833363021
-33.52,-70.77,0.7997553833363021
-33.52,-70.74,0.7994593493213881
-33.52,-70.72,0.7613974824917307
-33.52,-70.71,0.7642837591087555
-33.52,-70.7,0.7461543049187671
-33.52,-70.69,0.7435585582494739
-33.52,-70.67,0.8186174830154005
-33.52,-70.66,0.8507551573050158
-33.52,-70.65,0.8417519616469251
-33.52,-70.64,0.7693839612896106
-33.52,-70.61,0.7573072830667804
-33.52,-70.6,0.7958882090835993
-33.52,-70.58,0.7958882090835993
-33.52,-70.57,0.7958882090835991
-33.52,-70.56,0.7958882090835993
-33.52,-70.54,0.7958882090835993
-33.52,-70.52,0.7558866986249163
-33.51,-70.8,0.7997553833363021
-33.51,-70.79,0.7997553833363021
-33.51,-70.78,0.7997553833363021
-33.51,-70.77,0.7997553833363021
-33.51,-70.76,0.7997553833363021
-33.51,-70.75,0.7997551824578117
-33.51,-70.73,0.7825153678137923
-33.51,-70.72,0.7702842540027472
-33.51,-70.7,0.7600858238394294
-33.51,-70.69,0.7437124296093426
-33.51,-70.67,0.7936595702051659
-33.51,-70.66,0.8418661026158171
-33.51,-70.65,0.8409251623090529
-33.51,-70.62,0.7759147155876346
