lat,lon,population
-33.62,-70.63,1368.9075775623248
-33.61,-70.64,929.2173559960834
-33.6,-70.67,66.65075416620557
-33.6,-70.63,1152.7906608700373
-33.6,-70.62,2121.281326213115
-33.59,-70.66,1608.3155850915323
-33.59,-70.65,9536.094468673931
-33.59,-70.64,9871.20819480278
-33.59,-70.63,6038.190464097902
-33.59,-70.62,28988.0034034243
-33.58,-70.69,9662.804257494554
-33.58,-70.68,7106.184547109218
-33.58,-70.67,21816.92310701649
-33.58,-70.66,27550.78223264173
-33.58,-70.63,9882.911821369946
-33.57,-70.68,17517.567132251195
-33.57,-70.67,21345.422738005014
-33.57,-70.65,11448.410256321757
-33.57,-70.64,24075.703097318285
-33.57,-70.59,9480.131240388568
-33.56,-70.77,13195.208209865628
-33.56,-70.68,3026.7152067029615
-33.56,-70.67,13679.715353497495
-33.56,-70.66,24552.648722137455
-33.56,-70.62,53055.95304027765
-33.56,-70.6,33880.16077204608
-33.56,-70.58,17445.192299485818
-33.56,-70.56,12168.763677846902
-33.55,-70.8,7007.499085280904
-33.55,-70.78,5520.526453891137
-33.55,-70.68,12704.540331234699
-33.55,-70.67,8903.986836967613
-33.55,-70.66,10100.096094999397
-33.55,-70.65,32530.186923134028
-33.55,-70.63,35632.55803048921
-33.55,-70.62,24573.88824499318
-33.55,-70.6,19921.150336860497
-33.55,-70.59,12927.445006350314
-33.55,-70.58,17555.01343831827
-33.54,-70.79,14261.82275160469
-33.54,-70.78,14324.98362878096
-33.54,-70.77,18172.609695292707
-33.54,-70.76,8629.942359525588
-33.54,-70.74,39.73723263591778
-33.54,-70.7,27.644117935800722
-33.54,-70.69,2551.2112361310724
-33.54,-70.68,12865.036810258496
-33.54,-70.67,7928.677754270884
-33.54,-70.66,9471.138761544662
-33.54,-70.65,13611.654860798282
-33.54,-70.63,17367.50020021705
-33.54,-70.62,12129.47110653026
-33.54,-70.61,21431.109658938578
-33.54,-70.6,16089.200845295434
-33.54,-70.59,8537.309874515298
-33.54,-70.58,11317.289444641174
-33.54,-70.57,13759.10202616172
-33.54,-70.56,12752.1561280562
-33.54,-70.54,2800.742402826021
-33.53,-70.8,9882.922844796876
-33.53,-70.78,19207.14958301604
-33.53,-70.76,10051.453367465836
-33.53,-70.75,1194.12945211454
-33.53,-70.71,1205.6827913406473
-33.53,-70.7,9941.240519836023
-33.53,-70.69,5515.01662520535
-33.53,-70.67,11024.807495121286
-33.53,-70.66,8032.055241981791
-33.53,-70.65,11477.81634848391
-33.53,-70.64,15252.769778823007
-33.53,-70.63,12375.850373590267
-33.53,-70.62,16950.772885434675
-33.53,-70.6,16446.501347442332
-33.53,-70.59,13522.858640376719
-33.53,-70.56,13868.934280359703
-33.53,-70.55,3512.015244625434
-33.52,-70.79,35570.14257038893
-33.52,-70.77,17455.12882413893
-33.52,-70.74,2973.2300064652713
-33.52,-70.72,956.3330542669084
-33.52,-70.71,5938.992378503637
-33.52,-70.7,16535.862538360612
-33.52,-70.69,22577.76355011564
-33.52,-70.67,14072.014972567344
-33.52,-70.66,7376.381695707814
-33.52,-70.65,7303.0368473662875
-33.52,-70.64,21915.94960615326
-33.52,-70.61,12597.861901485056
-33.52,-70.6,11361.620042952716
-33.52,-70.58,25866.503110373418
-33.52,-70.57,12173.510245422502
-33.52,-70.56,9682.246569600828
-33.52,-70.54,4059.6371292753493
-33.52,-70.52,3103.1462196723205
-33.51,-70.8,19467.98937719416
-33.51,-70.79,30760.158300328563
-33.51,-70.78,26765.927777802284
-33.51,-70.77,12225.127213909758
-33.51,-70.76,9032.479978528188
-33.51,-70.75,15310.780020014263
-33.51,-70.73,10261.06069369212
-33.51,-70.72,2297.1957060514223
-33.51,-70.7,8971.143217696419
-33.51,-70.69,21651.189146064342
-33.51,-70.67,15415.94787154733
-33.51,-70.66,15791.0143475411
-33.51,-70.65,14905.948500393613
-33.51,-70.62,22270.594385860248
-33.51,-70.61,7107.918121739498
-33.51,-70.6,11008.103303133166
-33.51,-70.58,17542.455961837084
-33.51,-70.57,14888.36530875257
-33.51,-70.56,13573.166397553161
-33.51,-70.54,4997.200062194811
-33.5,-70.76,9557.369727402696
-33.5,-70.75,8982.169010515387
-33.5,-70.74,21787.634241271735
-33.5,-70.72,12755.175366999716
-33.5,-70.69,17489.152214065194
-33.5,-70.68,23236.54766282233
-33.5,-70.67,10624.207266974216
-33.5,-70.66,11587.253154941172
-33.5,-70.65,8692.562507641334
-33.5,-70.64,8124.539134495661
-33.5,-70.63,14668.078540451997
-33.5,-70.62,8821.220986001737
-33.5,-70.61,5188.84476539517
-33.5,-70.6,7940.634869410054
-33.5,-70.59,19692.606731619566
-33.5,-70.58,13278.675709669416
-33.5,-70.57,11383.975397480988
-33.5,-70.53,2010.0644575801693
-33.49,-70.78,15157.815107772114
-33.49,-70.77,17440.140248874763
-33.49,-70.76,16229.783977011388
-33.49,-70.75,8652.81403447103
-33.49,-70.74,16045.20049905029
-33.49,-70.73,17698.530604537344
-33.49,-70.72,6157.915820333321
-33.49,-70.71,3640.7656190894186
-33.49,-70.7,1890.0257114826372
-33.49,-70.67,17855.00630625132
-33.49,-70.66,9260.514979725318
-33.49,-70.65,10258.988586783355
-33.49,-70.64,7269.733641543872
-33.49,-70.63,10793.55131120498
-33.49,-70.62,10440.56740545323
-33.49,-70.61,7283.223079547071
-33.49,-70.6,9973.29537660642
-33.49,-70.59,8059.160638511475
-33.49,-70.58,6897.419633014148
